                                                                                                    26 Apr 2019 09:08:15
FOR UNFUNDED EDUCATIONAL USE ONLY
Sensor-Sensor1


       Time (UTCG)          Percent Obscured    Percent Unobscured    Relative Obscured Area    Relative Unobscured Area
27 Apr 2019 01:30:00.000            4.167240             95.832760               3973.546804                91378.446597
27 Apr 2019 01:35:00.000            3.800550             96.199450               3623.899965                91728.093436
27 Apr 2019 01:40:00.000            3.316106             96.683894               3161.973520                92190.019881
27 Apr 2019 01:45:00.000            2.332061             97.667939               2223.666318                93128.327084
27 Apr 2019 01:50:00.000            1.449686             98.550314               1382.304496                93969.688905
27 Apr 2019 01:55:00.000            1.957872             98.042128               1866.870172                93485.123229
27 Apr 2019 02:00:00.000            2.821624             97.178376               2690.474795                92661.518606
27 Apr 2019 02:05:00.000            3.560432             96.439568               3394.942787                91957.050614
27 Apr 2019 02:10:00.000            4.162530             95.837470               3969.055690                91382.937711
27 Apr 2019 02:15:00.000            4.155600             95.844400               3962.447442                91389.545959
27 Apr 2019 02:20:00.000            4.044886             95.955114               3856.878996                91495.114405
27 Apr 2019 02:25:00.000            3.562902             96.437098               3397.298360                91954.695041
27 Apr 2019 02:30:00.000            2.829843             97.170157               2698.311930                92653.681471
27 Apr 2019 02:35:00.000            1.842890             98.157110               1757.232717                93594.760684
27 Apr 2019 02:40:00.000            1.468118             98.531882               1399.879632                93952.113769
27 Apr 2019 02:45:00.000            2.440728             97.559272               2327.282835                93024.710566
27 Apr 2019 02:50:00.000            3.316092             96.683908               3161.960043                92190.033358
27 Apr 2019 02:55:00.000            3.922147             96.077853               3739.845366                91612.148035
27 Apr 2019 03:00:00.000            4.165092             95.834908               3971.498446                91380.494955
27 Apr 2019 03:05:00.000            4.165592             95.834408               3971.975100                91380.018301
27 Apr 2019 03:10:00.000            3.796572             96.203428               3620.106817                91731.886584
27 Apr 2019 03:15:00.000            3.300151             96.699849               3146.760137                92205.233264
27 Apr 2019 03:20:00.000            2.333908             97.666092               2225.428042                93126.565359
27 Apr 2019 03:25:00.000            1.194005             98.805995               1138.507439                94213.485962
27 Apr 2019 03:30:00.000            1.961778             98.038222               1870.594253                93481.399148
27 Apr 2019 03:35:00.000            2.938634             97.061366               2802.045650                92549.947751
27 Apr 2019 03:40:00.000            3.670924             96.329076               3500.299329                91851.694072
27 Apr 2019 03:45:00.000            4.174761             95.825239               3980.717558                91371.275843
27 Apr 2019 03:50:00.000            4.162907             95.837093               3969.414752                91382.578649
27 Apr 2019 03:55:00.000            4.048723             95.951277               3860.538083                91491.455318
27 Apr 2019 04:00:00.000            3.556683             96.443317               3391.368270                91960.625131
27 Apr 2019 04:05:00.000            2.705225             97.294775               2579.486106                92772.507295
27 Apr 2019 04:10:00.000            1.713021             98.286979               1633.399985                93718.593417
27 Apr 2019 04:15:00.000            1.458055             98.541945               1390.284109                93961.709292
27 Apr 2019 04:20:00.000            2.567293             97.432707               2447.965140                92904.028262
27 Apr 2019 04:25:00.000            3.298325             96.701675               3145.018396                92206.975005
27 Apr 2019 04:30:00.000            4.042839             95.957161               3854.927515                91497.065887
27 Apr 2019 04:35:00.000            4.159448             95.840552               3966.116251                91385.877150
27 Apr 2019 04:40:00.000            4.163505             95.836495               3969.984926                91382.008475
27 Apr 2019 04:45:00.000            3.804332             96.195668               3627.506037                91724.487364
27 Apr 2019 04:50:00.000            3.059267             96.940733               2917.072240                92434.921161
27 Apr 2019 04:55:00.000            2.327933             97.672067               2219.730394                93132.263007
27 Apr 2019 05:00:00.000            1.206189             98.793811               1150.124785                94201.868616
27 Apr 2019 05:05:00.000            2.088118             97.911882               1991.062298                93360.931103
27 Apr 2019 05:10:00.000            3.072529             96.927471               2929.718103                92422.275298
27 Apr 2019 05:15:00.000            3.807839             96.192161               3630.849981                91721.143420
27 Apr 2019 05:20:00.000            4.180525             95.819475               3986.214156                91365.779245
27 Apr 2019 05:25:00.000            4.162618             95.837382               3969.139356                91382.854045
27 Apr 2019 05:30:00.000            4.044712             95.955288               3856.713802                91495.279599
27 Apr 2019 05:35:00.000            3.548730             96.451270               3383.784698                91968.208703
27 Apr 2019 05:40:00.000            2.699346             97.300654               2573.880008                92778.113393
27 Apr 2019 05:45:00.000            1.706530             98.293470               1627.210114                93724.783287
27 Apr 2019 05:50:00.000            1.580402             98.419598               1506.945285                93845.048116
27 Apr 2019 05:55:00.000            2.584882             97.415118               2464.736895                92887.256506
27 Apr 2019 06:00:00.000            3.304278             96.695722               3150.695096                92201.298305
27 Apr 2019 06:05:00.000            4.048926             95.951074               3860.731571                91491.261830
27 Apr 2019 06:10:00.000            4.158989             95.841011               3965.678942                91386.314459
27 Apr 2019 06:15:00.000            4.163389             95.836611               3969.874523                91382.118878
27 Apr 2019 06:20:00.000            3.788341             96.211659               3612.259103                91739.734299
27 Apr 2019 06:25:00.000            3.051701             96.948299               2909.857707                92442.135694
27 Apr 2019 06:30:00.000            2.195328             97.804672               2093.288535                93258.704866
27 Apr 2019 06:35:00.000            1.213686             98.786314               1157.273925                94194.719476
27 Apr 2019 06:40:00.000            2.202817             97.797183               2100.429737                93251.563664
27 Apr 2019 06:45:00.000            3.070565             96.929435               2927.845052                92424.148349
27 Apr 2019 06:50:00.000            3.807501             96.192499               3630.527706                91721.465695
27 Apr 2019 06:55:00.000            4.176621             95.823379               3982.491735                91369.501666
27 Apr 2019 07:00:00.000            4.162708             95.837292               3969.225107                91382.768294
27 Apr 2019 07:05:00.000            4.044725             95.955275               3856.725672                91495.267729
27 Apr 2019 07:10:00.000            3.429921             96.570079               3270.497774                92081.495627
27 Apr 2019 07:15:00.000            2.582540             97.417460               2462.503390                92889.490011
27 Apr 2019 07:20:00.000            1.702157             98.297843               1623.041100                93728.952301
27 Apr 2019 07:25:00.000            1.702852             98.297148               1623.703479                93728.289922
27 Apr 2019 07:30:00.000            2.579345             97.420655               2459.456943                92892.536458
27 Apr 2019 07:35:00.000            3.540975             96.459025               3376.390122                91975.603279
27 Apr 2019 07:40:00.000            4.041336             95.958664               3853.494849                91498.498552
27 Apr 2019 07:45:00.000            4.155331             95.844669               3962.190687                91389.802714
27 Apr 2019 07:50:00.000            4.171368             95.828632               3977.482236                91374.511165
27 Apr 2019 07:55:00.000            3.800412             96.199588               3623.768728                91728.224673
27 Apr 2019 08:00:00.000            3.059299             96.940701               2917.102178                92434.891223
27 Apr 2019 08:05:00.000            2.082647             97.917353               1985.845248                93366.148153
27 Apr 2019 08:10:00.000            1.211881             98.788119               1155.552364                94196.441037
27 Apr 2019 08:15:00.000            2.206992             97.793008               2104.411113                93247.582288
27 Apr 2019 08:20:00.000            3.060862             96.939138               2918.593074                92433.400327
27 Apr 2019 08:25:00.000            3.809914             96.190086               3632.828471                91719.164930
27 Apr 2019 08:30:00.000            4.172782             95.827218               3978.831096                91373.162305
27 Apr 2019 08:35:00.000            4.168573             95.831427               3974.816976                91377.176425
27 Apr 2019 08:40:00.000            3.933873             96.066127               3751.026211                91600.967190
27 Apr 2019 08:45:00.000            3.307676             96.692324               3153.934891                92198.058511
27 Apr 2019 08:50:00.000            2.576613             97.423387               2456.852111                92895.141290
27 Apr 2019 08:55:00.000            1.461684             98.538316               1393.744608                93958.248793
27 Apr 2019 09:00:00.000            1.709119             98.290881               1629.679484                93722.313917
27 Apr 2019 09:05:00.000            2.822108             97.177892               2690.936086                92661.057315
27 Apr 2019 09:10:00.000            3.550925             96.449075               3385.877920                91966.115481
27 Apr 2019 09:15:00.000            4.035416             95.964584               3847.849389                91504.144012
27 Apr 2019 09:20:00.000            4.154027             95.845973               3960.947134                91391.046267
27 Apr 2019 09:25:00.000            4.166876             95.833124               3973.199766                91378.793635
27 Apr 2019 09:30:00.000            3.793596             96.206404               3617.269507                91734.723894
27 Apr 2019 09:35:00.000            3.070704             96.929296               2927.977499                92424.015902
27 Apr 2019 09:40:00.000            2.076808             97.923192               1980.277441                93371.715960
27 Apr 2019 09:45:00.000            1.197901             98.802099               1142.222648                94209.770753
27 Apr 2019 09:50:00.000            2.341418             97.658582               2232.588365                93119.405036
27 Apr 2019 09:55:00.000            3.187172             96.812828               3039.032403                92312.960998
27 Apr 2019 10:00:00.000            3.807707             96.192293               3630.724088                91721.269314
27 Apr 2019 10:05:00.000            4.171013             95.828987               3977.144256                91374.849145
27 Apr 2019 10:10:00.000            4.168686             95.831314               3974.925212                91377.068189
27 Apr 2019 10:15:00.000            3.925937             96.074063               3743.459327                91608.534074
27 Apr 2019 10:20:00.000            3.312008             96.687992               3158.065945                92193.927456
27 Apr 2019 10:25:00.000            2.430938             97.569062               2317.948267                93034.045134
27 Apr 2019 10:30:00.000            1.471772             98.528228               1403.363662                93948.629739
27 Apr 2019 10:35:00.000            1.831754             98.168246               1746.614200                93605.379201
27 Apr 2019 10:40:00.000            2.814159             97.185841               2683.356551                92668.636850
27 Apr 2019 10:45:00.000            3.561123             96.438877               3395.601404                91956.391997
27 Apr 2019 10:50:00.000            4.043315             95.956685               3855.381474                91496.611927
27 Apr 2019 10:55:00.000            4.175828             95.824172               3981.735192                91370.258209
27 Apr 2019 11:00:00.000            4.047340             95.952660               3859.219384                91492.774017
27 Apr 2019 11:05:00.000            3.555504             96.444496               3390.244092                91961.749309
27 Apr 2019 11:10:00.000            2.820398             97.179602               2689.305374                92662.688027
27 Apr 2019 11:15:00.000            1.950481             98.049519               1859.822393                93492.171009
27 Apr 2019 11:20:00.000            1.447451             98.552549               1380.173159                93971.820242
27 Apr 2019 11:25:00.000            2.331484             97.668516               2223.116342                93128.877059
27 Apr 2019 11:30:00.000            3.313872             96.686128               3159.843449                92192.149952
27 Apr 2019 11:35:00.000            3.919685             96.080315               3737.497470                91614.495931
27 Apr 2019 11:40:00.000            4.174801             95.825199               3980.755954                91371.237447
27 Apr 2019 11:45:00.000            4.170768             95.829232               3976.910480                91375.082921
27 Apr 2019 11:50:00.000            3.921651             96.078349               3739.372074                91612.621327
27 Apr 2019 11:55:00.000            3.308215             96.691785               3154.449202                92197.544199
27 Apr 2019 12:00:00.000            2.447815             97.552185               2334.040105                93017.953296
27 Apr 2019 12:05:00.000            1.465238             98.534762               1397.133683                93954.859718
27 Apr 2019 12:10:00.000            1.946220             98.053780               1855.759197                93496.234204
27 Apr 2019 12:15:00.000            2.812199             97.187801               2681.488212                92670.505190
27 Apr 2019 12:20:00.000            3.547582             96.452418               3382.690540                91969.302861
27 Apr 2019 12:25:00.000            4.035502             95.964498               3847.931587                91504.061815
27 Apr 2019 12:30:00.000            4.177789             95.822211               3983.605108                91368.388293
27 Apr 2019 12:35:00.000            4.037525             95.962475               3849.860760                91502.132641
27 Apr 2019 12:40:00.000            3.559307             96.440693               3393.870323                91958.123078
27 Apr 2019 12:45:00.000            2.820394             97.179606               2689.302056                92662.691345
27 Apr 2019 12:50:00.000            1.835909             98.164091               1750.575947                93601.417454
27 Apr 2019 12:55:00.000            1.467843             98.532157               1399.617951                93952.375451
27 Apr 2019 13:00:00.000            2.449964             97.550036               2336.089242                93015.904159
27 Apr 2019 13:05:00.000            3.310150             96.689850               3156.294136                92195.699265
27 Apr 2019 13:10:00.000            3.927799             96.072201               3745.234877                91606.758524
27 Apr 2019 13:15:00.000            4.172720             95.827280               3978.771457                91373.221944
27 Apr 2019 13:20:00.000            4.170958             95.829042               3977.091180                91374.902221
27 Apr 2019 13:25:00.000            3.917845             96.082155               3735.742996                91616.250405
27 Apr 2019 13:30:00.000            3.187326             96.812674               3039.178823                92312.814578
27 Apr 2019 13:35:00.000            2.337301             97.662699               2228.663031                93123.330370
27 Apr 2019 13:40:00.000            1.198121             98.801879               1142.432031                94209.561370
27 Apr 2019 13:45:00.000            1.954234             98.045766               1863.400633                93488.592768
27 Apr 2019 13:50:00.000            2.830337             97.169663               2698.782653                92653.210748
27 Apr 2019 13:55:00.000            3.675302             96.324698               3504.473301                91847.520100
27 Apr 2019 14:00:00.000            4.163072             95.836928               3969.572365                91382.421036
27 Apr 2019 14:05:00.000            4.161881             95.838119               3968.436741                91383.556660
27 Apr 2019 14:10:00.000            4.037628             95.962372               3849.958601                91502.034801
27 Apr 2019 14:15:00.000            3.557203             96.442797               3391.863695                91960.129706
27 Apr 2019 14:20:00.000            2.815981             97.184019               2685.094229                92666.899172
27 Apr 2019 14:25:00.000            1.837511             98.162489               1752.103412                93599.889989
27 Apr 2019 14:30:00.000            1.465839             98.534161               1397.706646                93954.286756
27 Apr 2019 14:35:00.000            2.452305             97.547695               2338.321483                93013.671918
27 Apr 2019 14:40:00.000            3.307521             96.692479               3153.787364                92198.206037
27 Apr 2019 14:45:00.000            3.929785             96.070215               3747.128259                91604.865142
27 Apr 2019 14:50:00.000            4.170811             95.829189               3976.951307                91375.042094
27 Apr 2019 14:55:00.000            4.168931             95.831069               3975.159140                91376.834261
27 Apr 2019 15:00:00.000            3.809948             96.190052               3632.861519                91719.131882
27 Apr 2019 15:05:00.000            3.187063             96.812937               3038.928370                92313.065031
27 Apr 2019 15:10:00.000            2.215196             97.784804               2112.233080                93239.760321
27 Apr 2019 15:15:00.000            1.197901             98.802099               1142.222648                94209.770753
27 Apr 2019 15:20:00.000            2.074445             97.925555               1978.024208                93373.969193
27 Apr 2019 15:25:00.000            3.067077             96.932923               2924.519059                92427.474342
27 Apr 2019 15:30:00.000            3.802033             96.197967               3625.314386                91726.679015
27 Apr 2019 15:35:00.000            4.169125             95.830875               3975.344270                91376.649131
27 Apr 2019 15:40:00.000            4.153697             95.846303               3960.632867                91391.360534
27 Apr 2019 15:45:00.000            4.041326             95.958674               3853.485192                91498.508210
27 Apr 2019 15:50:00.000            3.550923             96.449077               3385.876119                91966.117282
27 Apr 2019 15:55:00.000            2.812290             97.187710               2681.574593                92670.418808
