                                    30 Apr 2019 20:28:22
Approved AGI Educational Alliance Partner
Satellite-Sat1



default
-------

       Time (UTCG)          Power (W)    Solar Intensity
 1 May 2019 06:00:00.000     5305.239           1.000000
 1 May 2019 06:05:00.000     5305.239           1.000000
 1 May 2019 06:10:00.000     5305.239           1.000000
 1 May 2019 06:15:00.000     5305.239           1.000000
 1 May 2019 06:20:00.000     5305.239           1.000000
 1 May 2019 06:25:00.000     5305.239           1.000000
 1 May 2019 06:30:00.000     5305.239           1.000000
 1 May 2019 06:35:00.000     5305.239           1.000000
 1 May 2019 06:40:00.000     5305.239           1.000000
 1 May 2019 06:45:00.000        0.000           0.000000
 1 May 2019 06:50:00.000        0.000           0.000000
 1 May 2019 06:55:00.000        0.000           0.000000
 1 May 2019 07:00:00.000        0.000           0.000000
 1 May 2019 07:05:00.000        0.000           0.000000
 1 May 2019 07:10:00.000        0.000           0.000000
 1 May 2019 07:15:00.000        0.000           0.000000
 1 May 2019 07:20:00.000     5305.239           1.000000
 1 May 2019 07:25:00.000     5305.239           1.000000
 1 May 2019 07:30:00.000     5305.239           1.000000
 1 May 2019 07:35:00.000     5305.239           1.000000
 1 May 2019 07:40:00.000     5305.239           1.000000
 1 May 2019 07:45:00.000     5305.239           1.000000
 1 May 2019 07:50:00.000     5305.239           1.000000
 1 May 2019 07:55:00.000     5305.239           1.000000
 1 May 2019 08:00:00.000     5305.239           1.000000
 1 May 2019 08:05:00.000     5305.239           1.000000
 1 May 2019 08:10:00.000     5305.239           1.000000
 1 May 2019 08:15:00.000     5305.239           1.000000
 1 May 2019 08:20:00.000        0.000           0.000000
 1 May 2019 08:25:00.000        0.000           0.000000
 1 May 2019 08:30:00.000        0.000           0.000000
 1 May 2019 08:35:00.000        0.000           0.000000
 1 May 2019 08:40:00.000        0.000           0.000000
 1 May 2019 08:45:00.000        0.000           0.000000
 1 May 2019 08:50:00.000        0.000           0.000000
 1 May 2019 08:55:00.000     5312.883           1.000000
 1 May 2019 09:00:00.000     5312.883           1.000000
 1 May 2019 09:05:00.000     5312.883           1.000000
 1 May 2019 09:10:00.000     5312.883           1.000000
 1 May 2019 09:15:00.000     5312.883           1.000000
 1 May 2019 09:20:00.000     5312.883           1.000000
 1 May 2019 09:25:00.000     5312.883           1.000000
 1 May 2019 09:30:00.000     5312.883           1.000000
