"Time (UTCG)","Area (m^2)"
27 Apr 2019 07:00:00.000,26.124352
27 Apr 2019 07:05:00.000,26.112595
27 Apr 2019 07:10:00.000,25.842181
27 Apr 2019 07:15:00.000,25.693670
27 Apr 2019 07:20:00.000,25.874977
27 Apr 2019 07:25:00.000,25.879309
27 Apr 2019 07:30:00.000,25.612608
27 Apr 2019 07:35:00.000,24.869433
27 Apr 2019 07:40:00.000,25.158411
27 Apr 2019 07:45:00.000,25.833518
27 Apr 2019 07:50:00.000,26.178806
27 Apr 2019 07:55:00.000,26.026582
27 Apr 2019 08:00:00.000,25.527214
27 Apr 2019 08:05:00.000,25.816192
27 Apr 2019 08:10:00.000,25.912105
27 Apr 2019 08:15:00.000,25.738842
27 Apr 2019 08:20:00.000,25.268557
27 Apr 2019 08:25:00.000,24.724016
27 Apr 2019 08:30:00.000,25.478329
27 Apr 2019 08:35:00.000,26.159624
27 Apr 2019 08:40:00.000,26.079180
27 Apr 2019 08:45:00.000,25.839706
27 Apr 2019 08:50:00.000,25.758025
27 Apr 2019 08:55:00.000,25.891066
27 Apr 2019 09:00:00.000,25.860745
27 Apr 2019 09:05:00.000,25.570529
27 Apr 2019 09:10:00.000,24.845300
27 Apr 2019 09:15:00.000,25.233285
27 Apr 2019 09:20:00.000,25.946139
27 Apr 2019 09:25:00.000,26.191182
27 Apr 2019 09:30:00.000,26.021013
27 Apr 2019 09:35:00.000,25.520407
27 Apr 2019 09:40:00.000,25.860745
27 Apr 2019 09:45:00.000,25.925719
27 Apr 2019 09:50:00.000,25.746268
27 Apr 2019 09:55:00.000,25.241948
27 Apr 2019 10:00:00.000,24.790846
27 Apr 2019 10:05:00.000,25.553203
27 Apr 2019 10:10:00.000,26.189945
27 Apr 2019 10:15:00.000,26.098982
27 Apr 2019 10:20:00.000,25.811241
27 Apr 2019 10:25:00.000,25.810004
27 Apr 2019 10:30:00.000,25.913343
27 Apr 2019 10:35:00.000,25.862601
27 Apr 2019 10:40:00.000,25.550109
27 Apr 2019 10:45:00.000,24.824261
27 Apr 2019 10:50:00.000,25.308160
27 Apr 2019 10:55:00.000,26.026582
27 Apr 2019 11:00:00.000,26.199227
27 Apr 2019 11:05:00.000,26.030914
27 Apr 2019 11:10:00.000,25.519788
27 Apr 2019 11:15:00.000,25.866314
27 Apr 2019 11:20:00.000,25.956040
27 Apr 2019 11:25:00.000,25.744411
27 Apr 2019 11:30:00.000,25.191826
27 Apr 2019 11:35:00.000,24.847156
27 Apr 2019 11:40:00.000,25.638597
27 Apr 2019 11:45:00.000,26.210984
27 Apr 2019 11:50:00.000,26.120021
27 Apr 2019 11:55:00.000,25.792059
27 Apr 2019 12:00:00.000,25.864458
27 Apr 2019 12:05:00.000,25.929431
27 Apr 2019 12:10:00.000,25.881784
27 Apr 2019 12:15:00.000,25.531545
27 Apr 2019 12:20:00.000,24.803841
27 Apr 2019 12:25:00.000,25.376846
27 Apr 2019 12:30:00.000,26.097744
27 Apr 2019 12:35:00.000,26.227073
27 Apr 2019 12:40:00.000,26.011113
27 Apr 2019 12:45:00.000,25.551347
27 Apr 2019 12:50:00.000,25.903442
27 Apr 2019 12:55:00.000,25.967178
27 Apr 2019 13:00:00.000,25.721516
27 Apr 2019 13:05:00.000,25.163980
27 Apr 2019 13:10:00.000,24.908417
27 Apr 2019 13:15:00.000,25.712853
27 Apr 2019 13:20:00.000,26.244399
27 Apr 2019 13:25:00.000,26.143535
27 Apr 2019 13:30:00.000,25.806910
27 Apr 2019 13:35:00.000,25.904061
27 Apr 2019 13:40:00.000,25.997499
27 Apr 2019 13:45:00.000,25.905917
27 Apr 2019 13:50:00.000,25.493180
27 Apr 2019 13:55:00.000,24.777232
27 Apr 2019 14:00:00.000,25.439345
27 Apr 2019 14:05:00.000,26.159005
27 Apr 2019 14:10:00.000,26.227073
27 Apr 2019 14:15:00.000,25.982648
27 Apr 2019 14:20:00.000,25.658399
27 Apr 2019 14:25:00.000,25.933144
27 Apr 2019 14:30:00.000,25.980792
27 Apr 2019 14:35:00.000,25.708521
27 Apr 2019 14:40:00.000,25.131184
27 Apr 2019 14:45:00.000,24.999999
27 Apr 2019 14:50:00.000,25.791440
27 Apr 2019 14:55:00.000,26.267294
27 Apr 2019 15:00:00.000,26.131778
27 Apr 2019 15:05:00.000,25.801341
27 Apr 2019 15:10:00.000,25.942426
27 Apr 2019 15:15:00.000,26.021632
27 Apr 2019 15:20:00.000,25.897873
27 Apr 2019 15:25:00.000,25.482660
27 Apr 2019 15:30:00.000,24.750005
27 Apr 2019 15:35:00.000,25.531545
27 Apr 2019 15:40:00.000,26.231404
27 Apr 2019 15:45:00.000,26.241305
27 Apr 2019 15:50:00.000,25.987598
27 Apr 2019 15:55:00.000,25.700477
27 Apr 2019 16:00:00.000,25.965940
27 Apr 2019 16:05:00.000,25.982029
27 Apr 2019 16:10:00.000,25.693670
27 Apr 2019 16:15:00.000,25.095294
27 Apr 2019 16:20:00.000,25.081680
27 Apr 2019 16:25:00.000,25.878690
27 Apr 2019 16:30:00.000,26.285239
27 Apr 2019 16:35:00.000,26.137966
27 Apr 2019 16:40:00.000,25.788965
